Series Name,Series Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.12235042,5.882585531,5.94,5.255172298,7.402478619,5.729761047,4.642152414,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.917562724,15.38034528,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.87064714,10.05510836,10.97,9.307138842,9.075439421,8.364713354,7.285563648,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.897143486,6.541613248,4.92,4.337132474,5.220725197,3.495550901,4.254744202,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,3.315333333,3.48,3.933333333,3.124166667,3.124583333,3.332916647,,
