povertyline,headcount,povertygap,population,mean,popshr,weight,welfare,cumwelf,q,countrycode,cty,n,nq
5.228125,0.256495,0.09460311,49648685,438.572,0.001543899999999987,76652.60477149935,5.214680901450859,42022202.003006116,6,COL,COL,5.65,100
5.253125,0.2583549,0.09537831,49648685,438.572,0.0018599000000000254,92341.58923150126,5.239723607452096,42506046.40805206,6,COL,COL,5.65,100
5.278125,0.2603258,0.09615475,49648685,438.572,0.0019708999999999977,97852.59326649988,5.266083483433989,43021346.333263956,6,COL,COL,5.65,100
5.303125,0.2620688,0.09693292,49648685,438.572,0.0017429999999999946,86537.65795499973,5.290241161072632,43479151.41336032,6,COL,COL,5.65,100
5.328125,0.2640186,0.09771242,49648685,438.572,0.0019498000000000015,96805.00601300008,5.315366544004613,43993705.503613986,6,COL,COL,5.65,100
5.353125,0.2663362,0.09849397,49648685,438.572,0.0023176000000000307,115065.79235600153,5.341871831312564,44608372.21854817,6,COL,COL,5.65,100
5.378125,0.2683048,0.09927952,49648685,438.572,0.001968599999999987,97738.40129099936,5.363530697576983,45132595.134204544,6,COL,COL,5.65,100
5.403125,0.2702467,0.1000659,49648685,438.572,0.0019418999999999964,96412.78140149981,5.391138060662189,45652369.74955247,6,COL,COL,5.65,100
5.428125,0.2721897,0.1008546,49648685,438.572,0.0019429999999999725,96467.39495499864,5.414413117601655,46174684.07821768,6,COL,COL,5.65,100
5.453125,0.2740766,0.1016445,49648685,438.572,0.0018869000000000247,93682.10372650123,5.440381379511488,46684350.4509248,6,COL,COL,5.65,100
5.478125,0.2762607,0.1024363,49648685,438.572,0.002184100000000022,108437.69290850109,5.4658650874501555,47277056.250757016,6,COL,COL,5.65,100
5.503125,0.2779144,0.1032297,49648685,438.572,0.0016536999999999802,82104.03038449901,5.490686604281258,47727863.75054669,6,COL,COL,5.65,100
5.528125,0.2794124,0.1040229,49648685,438.572,0.0014979999999999993,74373.73012999997,5.516248331108194,48138127.71525459,6,COL,COL,5.65,100
5.553125,0.2813806,0.1048165,49648685,438.572,0.0019681999999999755,97718.54181699878,5.541834226704538,48679667.67487969,6,COL,COL,5.65,100
5.578125,0.2832576,0.105612,49648685,438.572,0.0018770000000000175,93190.58174500088,5.565713738678891,49198339.77601332,6,COL,COL,5.65,100
5.603125,0.2851928,0.1064091,49648685,438.572,0.0019352000000000258,96080.13521200127,5.590149112494738,49735442.058597066,6,COL,COL,5.65,100
5.628125,0.2874379,0.1072083,49648685,438.572,0.0022451,111466.2626935,5.615473002316039,50361377.84742148,6,COL,COL,5.65,100
5.653125,0.2888899,0.1080088,49648685,438.572,0.0014519999999999533,72089.89061999768,5.639635631887148,50767938.56326087,6,COL,COL,5.65,100
5.678125,0.2904658,0.1088086,49648685,438.572,0.001575900000000019,78241.36269150094,5.665854630687247,51211242.75037779,6,COL,COL,5.65,100
5.703125,0.2922069,0.1096086,49648685,438.572,0.0017410999999999954,86443.32545349977,5.691023454999662,51703193.743061826,6,COL,COL,5.65,100
5.728125,0.2941263,0.11041,49648685,438.572,0.0019194000000000155,95295.68598900078,5.714807361675627,52247790.230887696,6,COL,COL,5.65,100
5.753125,0.2956602,0.1112115,49648685,438.572,0.001533899999999977,76156.11792149885,5.741245354977499,52685021.18915762,6,COL,COL,5.65,100
5.778125,0.2976747,0.112014,49648685,438.572,0.00201450000000003,100017.27593250149,5.765353685778122,53261656.159596555,6,COL,COL,5.65,100
5.803125,0.2996606,0.1128182,49648685,438.572,0.001985899999999985,98597.32354149925,5.790357174328978,53832569.87933471,6,COL,COL,5.65,100
5.828125,0.3012838,0.1136234,49648685,438.572,0.0016231999999999913,80589.74549199957,5.8147278523903685,54301177.31706409,7,COL,COL,5.65,100
5.853125,0.3030561,0.1144288,49648685,438.572,0.0017723000000000044,87992.36442550021,5.840374971788067,54815085.71996324,7,COL,COL,5.65,100
5.878125,0.3048433,0.1152349,49648685,438.572,0.0017871999999999888,88732.12983199944,5.865438080516945,55335538.53324522,7,COL,COL,5.65,100
5.903125,0.3068101,0.116042,49648685,438.572,0.0019667999999999908,97649.03365799955,5.890819637227954,55910771.3782741,7,COL,COL,5.65,100
5.928125,0.3084815,0.1168502,49648685,438.572,0.001671400000000045,82982.81210900223,5.9150173507239465,56401616.15171071,7,COL,COL,5.65,100
5.953125,0.3100369,0.1176581,49648685,438.572,0.0015553999999999846,77223.56464899924,5.941072031310436,56860406.911804974,7,COL,COL,5.65,100
5.978125,0.3117351,0.1184666,49648685,438.572,0.001698199999999983,84313.39686699916,5.964084214167938,57363259.11110232,7,COL,COL,5.65,100
6.003125,0.3132067,0.1192745,49648685,438.572,0.0014716000000000173,73063.00484600085,5.990749227031813,57800961.25090812,7,COL,COL,5.65,100
6.053125,0.3163763,0.1208895,49648685,438.572,0.0031695999999999946,157366.47197599974,6.028141760789899,58749588.65237482,7,COL,COL,5.65,100
6.103125,0.3195882,0.1225047,49648685,438.572,0.0032118999999999898,159466.61135149948,6.0771504989259535,59718691.249111615,7,COL,COL,5.65,100
6.153125,0.3227836,0.1241189,49648685,438.572,0.003195400000000015,158647.40804900075,6.128652516116818,60690986.085626535,7,COL,COL,5.65,100
6.203125,0.3261658,0.1257338,49648685,438.572,0.003382200000000002,167921.78240700008,6.178232455945899,61728445.89175375,7,COL,COL,5.65,100
6.253125,0.3305269,0.1273541,49648685,438.572,0.004361100000000007,216522.88015350033,6.227824402100422,63076912.36838678,7,COL,COL,5.65,100
6.303125,0.334167,0.1289809,49648685,438.572,0.0036400999999999795,180726.17826849897,6.276948864728911,64211321.34789603,7,COL,COL,5.65,100
6.353125,0.3381116,0.1306106,49648685,438.572,0.00394460000000002,195844.202851001,6.329197906632016,65450858.0666066,7,COL,COL,5.65,100
6.403125,0.3415814,0.132245,49648685,438.572,0.0034697999999999674,172271.00721299837,6.377124221857039,66549451.679428324,7,COL,COL,5.65,100
6.453125,0.3453216,0.1338813,49648685,438.572,0.003740200000000027,185696.01163700133,6.428412835543584,67743182.30414487,7,COL,COL,5.65,100
6.503125,0.3490277,0.1355219,49648685,438.572,0.00370609999999999,184002.9914784995,6.476948729796805,68934960.24608035,7,COL,COL,5.65,100
6.553125,0.3526129,0.1371646,49648685,438.572,0.0035852000000000106,178000.46546200052,6.528153328266156,70096974.57711904,8,COL,COL,5.65,100
6.603125,0.3562869,0.1388107,49648685,438.572,0.0036740000000000106,182409.26869000052,6.576726235030019,71296630.4000252,8,COL,COL,5.65,100
6.653125,0.3596884,0.1404579,49648685,438.572,0.0034015000000000017,168880.0020275001,6.628072082169527,72415979.22670041,8,COL,COL,5.65,100
6.703125,0.3627224,0.1421044,49648685,438.572,0.003033999999999981,150634.11028999905,6.678349023566223,73421966.39007139,8,COL,COL,5.65,100
6.753125,0.3660663,0.1437503,49648685,438.572,0.0033439000000000108,166020.23777150054,6.727984165196352,74538947.92090018,8,COL,COL,5.65,100
6.803125,0.3692259,0.145396,49648685,438.572,0.0031595999999999846,156869.98512599923,6.777772799563319,75602177.03915508,8,COL,COL,5.65,100
6.853125,0.3722197,0.1470408,49648685,438.572,0.002993799999999991,148638.23315299954,6.826227745674426,76616815.47037211,8,COL,COL,5.65,100
6.903125,0.375667,0.1486848,49648685,438.572,0.0034472999999999865,171153.91180049934,6.877077803643387,77793854.23822206,8,COL,COL,5.65,100
